text,expected_intent,expected_origin,expected_destination
Funciona bem em um computador normal?,conversacao_geral,,
Precisa de uma placa de vídeo dedicada?,conversacao_geral,,
Quanta memória RAM o modelo consome?,conversacao_geral,,
O tempo de inferência é aceitável para uma aplicação em tempo real?,conversacao_geral,,
Como vocês lidaram com os prompts?,conversacao_geral,,
A engenharia de prompt foi muito difícil?,conversacao_geral,,
Vocês fizeram fine-tuning no modelo?,conversacao_geral,,
"Se sim, qual foi o dataset utilizado?",conversacao_geral,,
Os resultados melhoraram muito após o fine-tuning?,conversacao_geral,,
Qual o tamanho do modelo que vocês estão usando?,conversacao_geral,,
Quantos parâmetros ele tem?,conversacao_geral,,
O modelo é quantizado?,conversacao_geral,,
Qual o nível de quantização?,conversacao_geral,,
A perda de precisão foi significativa?,conversacao_geral,,
Como vocês avaliam a qualidade das respostas do LLM?,conversacao_geral,,
Vocês usam alguma métrica automática como ROUGE ou BLEU?,conversacao_geral,,
A avaliação humana é parte do processo?,conversacao_geral,,
Como vocês coletam os dados para avaliação?,conversacao_geral,,
O que acontece quando o LLM dá uma resposta errada ou sem sentido?,conversacao_geral,,
Existe algum mecanismo de segurança para evitar respostas tóxicas?,conversacao_geral,,
Como vocês garantem que o modelo não está enviesado?,conversacao_geral,,
Quais os próximos passos para a evolução do modelo de IA?,conversacao_geral,,
Vocês pretendem experimentar outros modelos?,conversacao_geral,,
Como o Gemini ou o Claude?,conversacao_geral,,
O que vocês acham sobre a regulamentação de IA?,conversacao_geral,,
O BusSense está em conformidade com as futuras leis de IA?,conversacao_geral,,
Qual o impacto social que vocês esperam com o projeto?,conversacao_geral,,
Como a tecnologia pode promover mais inclusão?,conversacao_geral,,
Qual a mensagem final de vocês para a comunidade?,conversacao_geral,,
Obrigado e parabéns pelo projeto,feedback,,
Estou torcendo por vocês,feedback,,
Contem com meu apoio,feedback,,
Isso é revolucionário,feedback,,
Uma ideia simples e genial,feedback,,
Por que ninguém pensou nisso antes?,feedback,,
Vocês merecem todo o reconhecimento,feedback,,
Espero que isso se torne um produto de verdade,feedback,,
Eu pagaria para usar um serviço assim,feedback,,
Isso tem que ser gratuito e acessível a todos,feedback,,
O poder público deveria financiar este projeto,feedback,,
Vou mostrar isso para o vereador da minha cidade,feedback,,
Como posso ajudar a divulgar?,conversacao_geral,,
Posso compartilhar nas minhas redes sociais?,conversacao_geral,,
Vocês têm um material de divulgação pronto?,conversacao_geral,,
Qual a hashtag oficial do projeto?,conversacao_geral,,
Como citar o projeto em um trabalho acadêmico?,conversacao_geral,,
Posso usar screenshots do app em uma apresentação?,conversacao_geral,,
Quais são os termos de uso?,conversacao_geral,,
Onde encontro a política de privacidade completa?,conversacao_geral,,
Como eu sei que uma nova versão está disponível?,conversacao_geral,,
O app atualiza automaticamente?,conversacao_geral,,
Preciso reinstalar para ter a nova versão?,conversacao_geral,,
Onde eu vejo o número da versão atual?,conversacao_geral,,
O log de mudanças é acessível?,conversacao_geral,,
Como eu volto para uma versão anterior se a nova tiver um bug?,conversacao_geral,,
Existe um programa de testes beta?,conversacao_geral,,
Como me inscrevo para ser um testador?,conversacao_geral,,
Os testadores beta têm acesso antecipado às novas features?,conversacao_geral,,
Existe alguma recompensa para quem encontra bugs?,conversacao_geral,,
O que é 'GGUF'?,conversacao_geral,,
Por que usar GGUF e não outro formato?,conversacao_geral,,
Qual a diferença entre Llama e Alpaca?,conversacao_geral,,
O que é um modelo 'instrucional'?,conversacao_geral,,
O que significa 'quantização' de um modelo?,conversacao_geral,,
O que é 'fine-tuning'?,conversacao_geral,,
Qual a diferença entre 'embedding' e 'fine-tuning'?,conversacao_geral,,
O que é 'FAISS'?,conversacao_geral,,
Por que usar FAISS e não outro banco de vetores?,conversacao_geral,,
O que são 'embeddings'?,conversacao_geral,,
Como os embeddings ajudam na busca de rotas?,conversacao_geral,,
O que é 'SentenceTransformers'?,conversacao_geral,,
Qual modelo de embedding vocês usam?,conversacao_geral,,
Por que escolheram esse modelo específico?,conversacao_geral,,
A busca semântica é melhor que a busca por palavras-chave?,conversacao_geral,,
Como vocês lidam com sinônimos e gírias na busca?,conversacao_geral,,
O que é 'temperatura' em um LLM?,conversacao_geral,,
O que é 'max_tokens'?,conversacao_geral,,
O que é um 'system prompt'?,conversacao_geral,,
O que é 'few-shot prompting'?,conversacao_geral,,
Por que o few-shot prompting funciona tão bem?,conversacao_geral,,
Quais são outras técnicas de engenharia de prompt?,conversacao_geral,,
O que é o 'Princípio da Responsabilidade Única'?,conversacao_geral,,
Por que é importante separar o código em classes e módulos?,conversacao_geral,,
O que é uma 'dependência circular' e como evitar?,conversacao_geral,,
O que é um 'ambiente virtual' em Python?,conversacao_geral,,
Por que é uma boa prática usar ambientes virtuais?,conversacao_geral,,
O que faz o arquivo 'requirements.txt'?,conversacao_geral,,
O que significa 'pip install -r'?,conversacao_geral,,
O que é o `__init__.py` em uma pasta Python?,conversacao_geral,,
O que faz o `if __name__ == '__main__':`?,conversacao_geral,,
O que é 'type hinting' em Python?,conversacao_geral,,
Por que usar dicas de tipo é bom para o código?,conversacao_geral,,
O que é 'seaborn' e 'matplotlib'?,conversacao_geral,,
Para que serve a 'matriz de confusão'?,conversacao_geral,,
O que 'acurácia' mede?,conversacao_geral,,
O que são 'precisão' e 'recall'?,conversacao_geral,,
O que é a 'pontuação F1'?,conversacao_geral,,
Quando a acurácia não é uma boa métrica?,conversacao_geral,,
O que é 'latência' em um sistema?,conversacao_geral,,
Por que a baixa latência é importante para a experiência do usuário?,conversacao_geral,,
Como posso medir a latência do meu próprio código?,conversacao_geral,,
O que é um 'TCC'?,conversacao_geral,,
Quais são as etapas para fazer um bom TCC?,conversacao_geral,,
Como escolher um bom tema para o TCC?,conversacao_geral,,
Qual a importância da revisão bibliográfica?,conversacao_geral,,
Como apresentar os resultados de forma clara?,conversacao_geral,,
Qual a estrutura de um relatório de TCC?,conversacao_geral,,
