RouteStart,RouteEnd,llm_generated
TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO BUTANTA),como eu chego do taboao da serra (jardim sao judas tadeu) em sao paulo?
TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO),SAO PAULO (METRO VILA SONIA),como eu vou do taboao da serra para o metro vila sonia?
TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO),SAO PAULO (METRO VILA SONIA),como eu vou do taboao da serra ate o metro vila sonia?
TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO),SAO PAULO (METRO VILA SONIA),como eu vou do taboao da serra para o metro vila sonia?
EMBU DAS ARTES (JARDIM SANTA TEREZA),SAO PAULO (METRO CAPAO REDONDO),to em embuas artes e quero saber como ir do jardim santa teresa para o metro capao redondo.
EMBU DAS ARTES (JARDIM SANTA TEREZA),SAO PAULO (METRO CAPAO REDONDO),to em embu das artes e quero saber como chegar no metro capao redondo.
EMBU DAS ARTES (JARDIM SANTA TEREZA),SAO PAULO (METRO CAPAO REDONDO),to em embu das artes e quero saber como ir do jardim santa tereza pro metro caparedo.
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),como eu faco pra ir do terminal rodoviario nicolau delnico em sao caiato ate santo andre?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),como eu faco pra ir do terminal rodoviario nicolau delnico em sant'andrea?
SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SANTO ANDRE (CATA PRETA),como eu faco pra ir do terminal rodoviario nicolau delnico pra santo andre?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),como eu vou do terminal ferropolis ferrazopolis para o terminal ferropolis pirapinhos?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),como eu faco pra ir do terminal ferroazul para o terminal pirapinhos?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),como eu faco para ir do terminal ferrohaus do sao bernardo do campo ate o terminal pirapinho do diadema?
SAO BERNARDO DO CAMPO (PARQUE SELECTA),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),"como eu vou do sao bernardo do campo para o santo andre, que terminal ele tem?"
SAO BERNARDO DO CAMPO (PARQUE SELECTA),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),como eu faco para ir do parque selecta para o terminal metropolitano santa andre?
SAO BERNARDO DO CAMPO (PARQUE SELECTA),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),como eu vou do parque selecta para o terminal metropolitano santa andre?
FRANCISCO MORATO (PARQUE PAULISTA),SAO PAULO (LAPA),to no parque paulista e quero saber como ir de francisco morato pra sao paulo.
FRANCISCO MORATO (PARQUE PAULISTA),SAO PAULO (LAPA),to no parque paulista e quero saber como ir de francisco morato pra sao paulo.
FRANCISCO MORATO (PARQUE PAULISTA),SAO PAULO (LAPA),como eu faco para ir do parque paulista para sao paulo?
CAIEIRAS (LARANJEIRAS),SAO PAULO (LAPA),to em caieiras e quero saber como ir de la pra sao paulo.
CAIEIRAS (LARANJEIRAS),SAO PAULO (LAPA),to em caieiras e quero saber como chegar em sao paulo.
CAIEIRAS (LARANJEIRAS),SAO PAULO (LAPA),to em caieiras e quero saber como chegar em sao paulo.
FRANCO DA ROCHA (JARDIM LUCIANA),SAO PAULO (PERUS),como eu vou do jardim luciana para sao paulo?
FRANCO DA ROCHA (JARDIM LUCIANA),SAO PAULO (PERUS),como eu chego de franco da rocha (jardim luciana) para sao paulo?
FRANCO DA ROCHA (JARDIM LUCIANA),SAO PAULO (PERUS),como eu chego de franco da rocha (jardim luciana) em sao paulo?
MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar no terminal rodoviario tiete a partir de mogi das cruzes?
MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do terminal rodoviario goraldo scavone em mogi das cruzes para o terminal rodoviario tiete em sao paulo?
MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do terminal rodoviario geraldo scavone em mogi das cruzes ate o terminal rodoviario tiete em sao paulo?
MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu chego do terminal rodoviario gualterdo scavone em sao paulo ate o terminal rodoviario tiete?
MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu chego do terminal rodoviario gualterdo scavone em sao paulo ate o terminal rodoviario tiete?
MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra ir do terminal rodoviario geraldo scavone em mogi das cruzes ate o terminal rodoviario tiete em sao paulo?
OSASCO (JARDIM ADALGISA),SAO PAULO (PIRITUBA),como eu faco pra ir do jardim adalgisa em osasco pro piritura?
OSASCO (JARDIM ADALGISA),SAO PAULO (PIRITUBA),como eu faco para ir do jardim adalgisa em osasco para sao paulo piratuba?
OSASCO (JARDIM ADALGISA),SAO PAULO (PIRITUBA),"to em osasco e quero saber como ir pra sao paulo, no piritura."
OSASCO (BEL JARDIM),SAO PAULO (LAPA),como eu chego do osasco (bel jardim) para o sao paulo (lapa)?
OSASCO (BEL JARDIM),SAO PAULO (LAPA),como eu vou do osasco (bel jardim) para o sao paulo (lapa)?
OSASCO (BEL JARDIM),SAO PAULO (LAPA),como eu vou do osasco (bel jardim) para sao paulo?
OSASCO (MUNHOZ JUNIOR),SAO PAULO (LAPA),como eu vou do osasco (munhoz junior) para sao paulo?
OSASCO (MUNHOZ JUNIOR),SAO PAULO (LAPA),como eu vou do osasco (munhoz junior) para sao paulo?
OSASCO (MUNHOZ JUNIOR),SAO PAULO (LAPA),como eu chego de osasco (munhoz junior) para sao paulo?
GUARAREMA (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do guararema (centro) pra sao paulo?
GUARAREMA (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),to aqui em guararema e quero saber como ir para o terminal rodoviario tiete.
GUARAREMA (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),to aqui em guararape e quero saber como ir pro terminal rodoviario tiete.
GUARAREMA (TERMINAL RODOVIARIO DE GUARAREMA),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),como eu chego do terminal rodoviario de guararema ate o terminal rodoviario geraldo scavone?
GUARAREMA (TERMINAL RODOVIARIO DE GUARAREMA),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),como eu vou do terminal rodoviario de guararema para o terminal rodoviario geraldo scavone?
GUARAREMA (TERMINAL RODOVIARIO DE GUARAREMA),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),como eu vou do terminal rodoviario de guararema para o terminal rodoviario geraldo scavone?
BIRITIBA MIRIM (CASA GRANDE),MOGI DAS CRUZES (CENTRO),como eu faco para ir da biritiba mirim para mogi das cruzes?
BIRITIBA MIRIM (CASA GRANDE),MOGI DAS CRUZES (CENTRO),como eu vou do biritiba mirim para mogi das cruzes?
BIRITIBA MIRIM (CASA GRANDE),MOGI DAS CRUZES (CENTRO),como eu faco pra ir do biritiba mirim para mogi das cruzes?
OSASCO (VILA MENCK),SAO PAULO (PINHEIROS),como eu vou de osasco para sao paulo?
OSASCO (VILA MENCK),SAO PAULO (PINHEIROS),como eu faco pra ir de osasco (vila menck) para sao paulo?
OSASCO (VILA MENCK),SAO PAULO (PINHEIROS),to em osasco e queria saber como ir para sao paulo.
DIADEMA (JARDIM SAPOPEMA),SAO PAULO (TERMINAL SACOMA),como eu vou do jardim sapopema para o terminal sacoma?
DIADEMA (JARDIM SAPOPEMA),SAO PAULO (TERMINAL SACOMA),como eu chego do jardim sapopema ate o terminal sacramento?
DIADEMA (JARDIM SAPOPEMA),SAO PAULO (TERMINAL SACOMA),como eu chego do jardim sapopema em diadema para o terminal sacomma?
TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),OSASCO (CENTRO),como eu vou do taboao da serra para o centro de osasco?
TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),OSASCO (CENTRO),como eu vou do taboao da serra para o osasco?
TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),OSASCO (CENTRO),to perto do jardim sao judas tadeu e queria saber como chegar em osasco.
SUZANO (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),to na suzano (centro) e quero saber como ir pra sao paulo.
SUZANO (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),to em suzano e quero saber como ir do meu lugar ate o terminal rodoviario tiete.
SUZANO (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),to em suzano e quero saber como ir do meu local para o terminal rodoviario tiete.
ITAQUAQUECETUBA (RANCHO GRANDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu chego do itaquaquecetuba em sao paulo ao terminal rodoviario tiete?
ITAQUAQUECETUBA (RANCHO GRANDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do itaquaquecetuba para o terminal rodoviario tiete?
ITAQUAQUECETUBA (RANCHO GRANDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu chego do itaquaquecetuba em sao paulo no terminal rodoviario tiete?
RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (CENTRO),como eu faco para ir do terminal rodoaviario de ribeiraos pires para o centro de suzano?
RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (CENTRO),como eu chego do terminal rodoaviario de ribeiraos pires ate o suzano?
RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (CENTRO),como eu faco para ir do terminal rodoviario de ribeiraos pires para o centro de suzano?
FRANCISCO MORATO (JARDIM DA ALEGRIA),FRANCO DA ROCHA (CENTRO),como eu faco para ir do jardim da alegria ate o franco da rocha?
FRANCISCO MORATO (JARDIM DA ALEGRIA),FRANCO DA ROCHA (CENTRO),como eu faco para ir do jardim da alegria ate o franco da rocha?
FRANCISCO MORATO (JARDIM DA ALEGRIA),FRANCO DA ROCHA (CENTRO),como eu vou do jardim da alegria para o franco da rocha?
SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II),SAO PAULO (TERMINAL RODOVIARIO TIETE),"to em sao bernardo do campo (conjunto terra nova ii) e quero saber como ir do local pra sao paulo, no terminal rodoviario tiete."
SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II),SAO PAULO (TERMINAL RODOVIARIO TIETE),"to em sao bernardo do campo (conjunto terra nova ii) e quero saber como ir do local pra sao paulo, no terminal rodoaviario tiete."
SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do conjunto terra nova ii ate o terminal rodoviario tiete?
SAO BERNARDO DO CAMPO (AREA VERDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu vou do sao bernardo do campo (area verde) pra sao paulo?
SAO BERNARDO DO CAMPO (AREA VERDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu chego do sao bernardo do campo (area verde) ao sao paulo (terminal rodoviario tiete)?
SAO BERNARDO DO CAMPO (AREA VERDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu chego do sao bernardo do campo (area verde) ao sao paulo (terminal rodoviario tiete)?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),como eu faco pra ir do terminal ferropolis de sao bernardo do campo ate o glierio?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),como eu vou do terminal ferrozipal para o gliso?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),como eu vou do terminal ferrozona para o gliso?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),como eu faco para ir do terminal ferrozipal para o gliso?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),como eu faco pra chegar no glierio a partir do terminal metro fernao coelho?
SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),como eu faco para ir do terminal ferro  para o glicioro?
SANTA ISABEL (MONTE SERRAT),SAO PAULO (METRO ARMENIA),como eu vou da santa isabel (monte serrat) para o sao paulo?
SANTA ISABEL (MONTE SERRAT),SAO PAULO (METRO ARMENIA),to em santa isabel e quero saber como ir do meu lugar ate o metro armenia em sao paulo.
SANTA ISABEL (MONTE SERRAT),SAO PAULO (METRO ARMENIA),to em santa isabel e quero saber como ir de la para sao paulo.
SANTA ISABEL (MONTE SERRAT),GUARULHOS (CENTRO),to em santa isabel e quero saber como ir para guarulhos.
SANTA ISABEL (MONTE SERRAT),GUARULHOS (CENTRO),como eu chego da santa isabel (monte serrat) para os guarulhos?
SANTA ISABEL (MONTE SERRAT),GUARULHOS (CENTRO),como eu chego da santa isabel (monte serrat) para os guarulhos?
CARAPICUIBA (COHAB V),OSASCO (VILA YARA),to em carapicuiba e preciso saber como ir do meu local pra vila yara.
CARAPICUIBA (COHAB V),OSASCO (VILA YARA),como eu vou do carapicuiba para a vila yara?
CARAPICUIBA (COHAB V),OSASCO (VILA YARA),como eu faco pra ir do carapicuiba (cohab v) ate a vila yara em osasco?
EMBU-GUACU (CHACARA FLORIDA),SAO PAULO (TERMINAL GRAJAU),to em embu-guacu e quero saber como ir do terminal grajau para sao paulo.
EMBU-GUACU (CHACARA FLORIDA),SAO PAULO (TERMINAL GRAJAU),como eu faco pra ir do embu-guacu para o terminal grajau?
EMBU-GUACU (CHACARA FLORIDA),SAO PAULO (TERMINAL GRAJAU),to em embu-guacu e quero saber como pegar no terminal grajau.
GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),to em guarulhos e quero saber como ir do jardim leblon para sao paulo.
GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),to em guarulhos (jardim leblon) e quero saber como ir para sao paulo.
GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),to em guarulhos (jardim leblon) e queria saber como ir para sao paulo.
GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),como eu chego de guarulhos para sao paulo?
GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),como eu chego do guarulhos (jardim leblon) em sao paulo?
GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),to em guarulhos (jardim leblon) e queria saber como ir pra sao paulo.
BARUERI (ALPHAVILLE 3 / BRADESCO),SAO PAULO (LAPA),como eu vou do barueri (alphaville 3 / bradesco) para sao paulo?
BARUERI (ALPHAVILLE 3 / BRADESCO),SAO PAULO (LAPA),como eu vou do barueri (alphaville 3 / bradesco) para sao paulo?
BARUERI (ALPHAVILLE 3 / BRADESCO),SAO PAULO (LAPA),como eu chego de barueri (alphaville 3 / bradesco para sao paulo (lapa)?
OSASCO (JARDIM ACUCARA),SAO PAULO (LAPA),como eu chego do jardim acucara em osasco ate sao paulo (lapa)?
OSASCO (JARDIM ACUCARA),SAO PAULO (LAPA),"como eu vou do jardim acucara para sao paulo, sapo?"
OSASCO (JARDIM ACUCARA),SAO PAULO (LAPA),"como eu vou do jardim acucara para sao paulo, sapo?"
BARUERI (ALPHAVILLE),OSASCO (VILA YARA),como eu faco pra ir do barueri (alphaville) para a vila yara?
BARUERI (ALPHAVILLE),OSASCO (VILA YARA),como eu vou do barueri (alphaville) ate a vila yara?
BARUERI (ALPHAVILLE),OSASCO (VILA YARA),como eu vou do barueri (alphaville) para a vila yara?
OSASCO (JARDIM ELVIRA),SAO PAULO (METRO ARMENIA),como eu vou do jardim elvira para sao paulo?
OSASCO (JARDIM ELVIRA),SAO PAULO (METRO ARMENIA),to em osasco e quero saber como ir para sao paulo.
OSASCO (JARDIM ELVIRA),SAO PAULO (METRO ARMENIA),to em osasco e quero saber como ir para sao paulo.
OSASCO (MUNHOZ JUNIOR),SAO PAULO (METRO ARMENIA),como eu faco pra ir do osasco (munhoz junior) ate o metro armenia?
OSASCO (MUNHOZ JUNIOR),SAO PAULO (METRO ARMENIA),como eu saio de osasco (munhoz junior) e chego no metro armenia em sao paulo?
OSASCO (MUNHOZ JUNIOR),SAO PAULO (METRO ARMENIA),como eu faco pra ir do osasco (munhoz junior) para o metro sao paulo?
DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar no terminal saopaulo a partir do terminal metropolitano pirapora?
DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (TERMINAL SACOMA),como eu vou do terminal metropolitano pirapora pra sao paulo?
DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (TERMINAL SACOMA),como eu vou do terminal metropolitano pirapora pra sao paulo?
ITAPECERICA DA SERRA (JARDIM SAO PEDRO),SAO PAULO (METRO CAPAO REDONDO),como eu chego do jardim sao pedro para o metro capao redondo?
ITAPECERICA DA SERRA (JARDIM SAO PEDRO),SAO PAULO (METRO CAPAO REDONDO),to aqui em itapecerica da serra (jardim sao pedro) e queria saber como ir para o metro capao redondo.
ITAPECERICA DA SERRA (JARDIM SAO PEDRO),SAO PAULO (METRO CAPAO REDONDO),como eu vou de itapecerica da serra para o metro capao redondo?
SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),como eu faco para ir do parque los angeles para o terminal metropolitano santa andrea-oeste?
SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),como eu faco pra ir do sao bernardo do campo ate o terminal metropolitano santo andro-oeste?
SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),como eu faco para ir do parque los angeles para o terminal metropolitano santa andrea-oeste?
ITAPECERICA DA SERRA (JARDIM SAO MARCOS),COTIA (TERMINAL METROPOLITANO COTIA),"to aqui no jardim sao marcos, e quero saber como ir do aqui para o terminal metropolitano cotia."
ITAPECERICA DA SERRA (JARDIM SAO MARCOS),COTIA (TERMINAL METROPOLITANO COTIA),to aqui perto do jardim sao marcos e quero saber como ir para o terminal metropolitano cotia.
ITAPECERICA DA SERRA (JARDIM SAO MARCOS),COTIA (TERMINAL METROPOLITANO COTIA),como eu faco pra ir do itapecerica da serra (jardim sao marcos) para o terminal metropolitano cotia?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO DO TIETE),como eu vou do terminal rodoviario siuemi aiacyda para o terminal rodoviario do tiete?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO DO TIETE),como eu vou do terminal rodoviario aiacyda para o terminal rodoviario do tiete?
MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO DO TIETE),como eu vou do terminal rodoviario aiacyda para o terminal rodoviario do tiete?
TABOAO DA SERRA (PARQUE JACARANDA),SAO PAULO (METRO VILA SONIA),como eu chego do taboao da serra no metro vila sonia?
TABOAO DA SERRA (PARQUE JACARANDA),SAO PAULO (METRO VILA SONIA),como eu chego do taboao da serra no metro vila sonia?
TABOAO DA SERRA (PARQUE JACARANDA),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do taboao da serra ate o metro vila sonia?
ITAQUAQUECETUBA (JARDIM PINHEIRINHO),SAO PAULO (METRO CARRAO),como eu chego do jardim pinheirinho no metro carrao?
ITAQUAQUECETUBA (JARDIM PINHEIRINHO),SAO PAULO (METRO CARRAO),como eu chego do jardim pinheirinho no metro carrao?
ITAQUAQUECETUBA (JARDIM PINHEIRINHO),SAO PAULO (METRO CARRAO),to no jardim pinheirinho e quero ir para sao paulo.
ITAQUAQUECETUBA (PEQUENO CORACAO),SAO PAULO (METRO CARRAO),to aqui em itaquaquecetuba e preciso ir para sao paulo. como eu faco?
ITAQUAQUECETUBA (PEQUENO CORACAO),SAO PAULO (METRO CARRAO),como eu vou do itaquaquecetuba para sao paulo pelo metro?
ITAQUAQUECETUBA (PEQUENO CORACAO),SAO PAULO (METRO CARRAO),como eu vou de itaquaquecetuba para sao paulo pelo metro?
SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),to aqui na santa isabel (monte serrat) e quero saber como ir pro terminal rodoviario tiete.
SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),to em santa isabel e quero saber como ir do terminal rodoviario tiete.
SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),to na santa isabel e queria saber como pegar o onibus ate o terminal rodoviario tiete.
SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),to em santa isabel e quero saber como ir para o terminal rodoviario tiete.
SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),to na santa isabel (monte serrat) e quero saber como ir ate o terminal rodoviario tiete.
SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar do santa isabel (monte serrat) no terminal rodoviario tiete?
OSASCO (CENTRO),COTIA (RODOVIA RAPOSO TAVARES - KM 21),como eu chego de osasco (centro) para cotia (rodovia raposo tavares - km 21)?
OSASCO (CENTRO),COTIA (RODOVIA RAPOSO TAVARES - KM 21),como eu vou de osasco para cotia pela rodovia dos bandeirantes?
OSASCO (CENTRO),COTIA (RODOVIA RAPOSO TAVARES - KM 21),como eu vou do osasco (centro) pra cotia pela rodovia asprotai?
OSASCO (VILA YARA),COTIA (RODOVIA RAPOSO TAVARES SP-270 - KM 21),como eu vou da osasco (vila yara) para o rodovia dos palmares?
OSASCO (VILA YARA),COTIA (RODOVIA RAPOSO TAVARES SP-270 - KM 21),como eu vou da osasco (vila yara) para o rodo viaoso sp-270 - km 21?
OSASCO (VILA YARA),COTIA (RODOVIA RAPOSO TAVARES SP-270 - KM 21),como eu vou da osasco (vila yara) para o rodo viaoso sp-270?
OSASCO (CIDADE DE DEUS),COTIA (RODOVIA RAPOSO TAVARES - SP 270 - KM 21),como eu faco pra ir do osasco pra cotia?
OSASCO (CIDADE DE DEUS),COTIA (RODOVIA RAPOSO TAVARES - SP 270 - KM 21),como eu faco pra ir do osasco pra cotia?
OSASCO (CIDADE DE DEUS),COTIA (RODOVIA RAPOSO TAVARES - SP 270 - KM 21),como eu vou de osasco para cotia?
TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO CAMPO LIMPO),como eu vou do taboao da serra para o metro campo limpo?
TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO CAMPO LIMPO),como eu faco pra ir do taboao da serra ate o sao paulo?
TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO CAMPO LIMPO),como eu vou do taboao da serra para o metro campo limpo?
SANTANA DE PARNAIBA (JARDIM SAO LUIS),OSASCO (VILA YARA),como eu vou do jardim sao luis para osasca?
SANTANA DE PARNAIBA (JARDIM SAO LUIS),OSASCO (VILA YARA),to na santana de parnaiba e quero saber como ir da minha casa em vila yara pra osasca.
SANTANA DE PARNAIBA (JARDIM SAO LUIS),OSASCO (VILA YARA),como eu vou do jardim sao luiz para osasco?
SANTANA DE PARNAIBA (REFUGIO DOS BANDEIRANTES),OSASCO (VILA YARA),como eu faco pra ir do santana de parnaiba ate a vila yara?
SANTANA DE PARNAIBA (REFUGIO DOS BANDEIRANTES),OSASCO (VILA YARA),to aqui em santana de parnaiba e quero saber como ir da vila para o osasco.
SANTANA DE PARNAIBA (REFUGIO DOS BANDEIRANTES),OSASCO (VILA YARA),como eu vou do santana de parnaiba para vila yara?
BARUERI (ALDEIA DA SERRA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir do barueri (aldeia da serra) para o terminal metropolitano de cotia?
BARUERI (ALDEIA DA SERRA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu vou do barueri (aldeia da serra) para o terminal metropolitano de cotia?
BARUERI (ALDEIA DA SERRA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir do barueri (aldeia da serra) ate o terminal metropolitano de cotia?
JANDIRA (JARDIM ALVORADA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir do jardim alvorada para o terminal metropolitano de cotia?
JANDIRA (JARDIM ALVORADA),COTIA (TERMINAL METROPOLITANO DE COTIA),to em jardim alvorada e quero saber como ir para cotia.
JANDIRA (JARDIM ALVORADA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir do jardim alvorada para o terminal metropolitano de cotia?
BARUERI (ALDEIA DA SERRA),COTIA  (JARDIM ROSEMARY),como eu faco para ir do barueri (aldeia da serra) para o cotia (jardim rosemary)?
BARUERI (ALDEIA DA SERRA),COTIA  (JARDIM ROSEMARY),to em barueri (aldeia da serra) e quero saber como ir para cotia (jardim rosemary).
BARUERI (ALDEIA DA SERRA),COTIA  (JARDIM ROSEMARY),como eu vou de barueri (aldeia da serra) para o jardim rosemary?
GUARULHOS (PARQUE SANTOS DUMONT),SAO PAULO (METRO PENHA),como eu vou do guarulhos ao parque santos dumont?
GUARULHOS (PARQUE SANTOS DUMONT),SAO PAULO (METRO PENHA),to no guarulhos e quero saber como ir de la para o metro sao paulo.
GUARULHOS (PARQUE SANTOS DUMONT),SAO PAULO (METRO PENHA),como eu vou do guarulhos ao parque santos dumont?
GUARULHOS (JARDIM PAULISTA),SAO PAULO (METRO PENHA),to em guarulhos (jardim paulista) e quero saber como ir para sao paulo (metro de penha).
GUARULHOS (JARDIM PAULISTA),SAO PAULO (METRO PENHA),como eu vou do jardim paulista para sao paulo?
GUARULHOS (JARDIM PAULISTA),SAO PAULO (METRO PENHA),como eu chego de guarulhos para sao paulo?
GUARULHOS (COCAIA),SAO PAULO (METRO PENHA),to em guarulhos e quero saber como pegar o onibus pra sao paulo.
GUARULHOS (COCAIA),SAO PAULO (METRO PENHA),to em guarulhos e preciso saber como ir para sao paulo.
GUARULHOS (COCAIA),SAO PAULO (METRO PENHA),como eu vou do guarulhos (cocaia) para o sao paulo?
GUARULHOS (JARDIM CUMBICA),SAO PAULO (METRO CARRAO),to em guarulhos (jardim cumbica) e quero saber como ir para sao paulo.
GUARULHOS (JARDIM CUMBICA),SAO PAULO (METRO CARRAO),to em guarulhos (jardim cumbica) e quero saber como chegar em sao paulo no metro carro.
GUARULHOS (JARDIM CUMBICA),SAO PAULO (METRO CARRAO),como eu vou do guarulhos para o metro carro em sao paulo?
GUARULHOS (JARDIM PARAISO),SAO PAULO (METRO PENHA),como eu vou do guarulhos para sao paulo?
