RouteCode,RouteStart,RouteEnd
313,ITAPEVI (DIVISA SAO ROQUE),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
314,SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS),SAO PAULO (TERMINAL RODOVIARIO TIETE)
315,POA (TERMINAL RODOVIARIO AYRTON SENNA DA SILVA),SAO PAULO (ESTACAO CPTM ITAIM PAULISTA)
316,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (CIRCUITO DOS HOTEIS)
317,FRANCISCO MORATO (CENTRO),FRANCO DA ROCHA (PARQUE PAULISTA)
318,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),GUARULHOS (TERMINAL METROPOLITANO CECAP)
319,GUARULHOS (VILA ANY),SAO PAULO (METRO CORINTHIANS/ITAQUERA)
321,CARAPICUIBA (COHAB V),SANTANA DE PARNAIBA (ALPHAVILLE 10)
322,BARUERI (PARQUE IMPERIAL),SAO PAULO (PINHEIROS)
323,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (JARDIM CLIMAX)
324,SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),BARUERI (PARQUE IMPERIAL)
324BI1,SANTANA DE PARNAIBA (JARDIM SAO LUIS),BARUERI (PARQUE IMPERIAL)
327,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (METRO CORINTHIANS-ITAQUERA)
329,CARAPICUIBA (VILA MENCK),SAO PAULO (METRO BUTANTA)
331,CAIEIRAS (LARANJEIRAS),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA)
332,ITAQUAQUECETUBA (JARDIM ADRIANE),SUZANO (VILA SOL NASCENTE)
334,COTIA (JARDIM DO ENGENHO),SAO PAULO (METRO MORUMBI)
335,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),ITAQUAQUECETUBA (MARENGO)
336,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),MAUA (CAPBURGO)
337,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (TERMINAL RODOVIARIO TIETE)
337BI1,GUARULHOS (RECREIO SAO JORGE),SAO PAULO (TERMINAL RODOVIARIO TIETE)
339,ITAPECERICA DA SERRA (JARDIM VICTORIA),SAO PAULO (METRO CAPAO REDONDO)
340,ITAPECERICA DA SERRA (JARDIM SAO MARCOS),SAO PAULO (METRO CAPAO REDONDO)
341,GUARULHOS (VILA ANY),SAO PAULO (METRO ARMENIA)
341DV1,GUARULHOS (VILA ANY),SAO PAULO (METRO ARMENIA)
342,GUARULHOS (JARDIM MARIA DIRCE),SAO PAULO (METRO ARMENIA)
342DV1,GUARULHOS (JARDIM MARIA DIRCE),SAO PAULO (METRO ARMENIA)
343,EMBU DAS ARTES (JARDIM DO COLEGIO),SAO PAULO (METRO CAMPO LIMPO)
345,BARUERI (VALE DO SOL),OSASCO (VILA YARA)
346,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE)
347,EMBU DAS ARTES (PARQUE INDUSTRIAL),TABOAO DA SERRA (CENTRO)
348,ARUJA (TERMINAL RODOVIARIO DE ARUJA),ITAQUAQUECETUBA (JARDIM NOSSA SENHORA DAS GRACAS)
349,GUARULHOS (JARDIM MARIA DIRCE),SAO PAULO (ITAIM PAULISTA)
350,ITAPEVI (COHAB),OSASCO (VILA YARA)
350BI1,ITAPEVI (VILA GIOIA),OSASCO (VILA YARA)
351,COTIA (CAUCAIA DO ALTO),COTIA (TERMINAL METROPOLITANO COTIA)
351BI1,COTIA (CAUCAIA DO ALTO),COTIA (TERMINAL METROPOLITANO COTIA)
351PR1,COTIA (JARDIM MONTE VERDE),COTIA (TERMINAL METROPOLITANO COTIA)
352,SANTANA DE PARNAIBA (CIDADE DE SAO PEDRO),SAO PAULO (LAPA)
353,ARUJA (TERMINAL RODOVIARIO DE ARUJA),ITAQUAQUECETUBA (RESIDENCIAL VILLAGE)
354,GUARULHOS (BAIRRO DOS LAVRAS),SAO PAULO (METRO ARMENIA)
356,TABOAO DA SERRA (JARDIM LEME),SAO PAULO (METRO VILA SONIA)
358,DIADEMA (VILA SAO JOSE),SAO PAULO (SAUDE)
359,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (SAUDE)
360,BARUERI (PARQUE VIANA),BARUERI (ALPHAVILLE 1)
361,FRANCISCO MORATO (PARQUE 120),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA)
361VP1,FRANCISCO MORATO (PARQUE120),CAIEIRAS (TREVO DE LARANJEIRAS)
362,ITAQUAQUECETUBA (JARDIM CALIFORNIA),GUARULHOS (JARDIM SANTA MENA)
363,ARUJA (TERMINAL RODOVIARIO DE ARUJA),ARUJA (RECANTO PRIMAVERA)
366,SAO BERNARDO DO CAMPO (PARQUE SELECTA),SANTO ANDRE (JARDIM CRISTIANE)
367,SUZANO (JARDIM VITORIA),MOGI DAS CRUZES (CONDOMINIO ARUA)
372,SUZANO (JARDIM COLORADO),MOGI DAS CRUZES (JARDIM PIATA)
374,RIO GRANDE DA SERRA (SITIO MARIA JOANA),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES)
375,MAIRIPORA (DIVISA),SAO PAULO (TERMINAL RODOVIARIO DO TIETE)
376,DIADEMA (TERMINAL METROPOLITANO DIADEMA),SAO PAULO (BROOKLIN)
377,POA (JARDIM NOVA POA),SAO PAULO (METRO CORINTHIANS-ITAQUERA)
378,SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),SAO PAULO (METRO PARAISO)
379,FERRAZ DE VASCONCELOS (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE)
380,DIADEMA (TERMINAL METROPOLITANO DE DIADEMA),SAO PAULO (JARDIM GUACURI)
381,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (BARUEL)
381BI1,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (VILA FATIMA)
382,MAUA (BAIRRO FEITAL),SAO CAETANO DO SUL ( BAIRRO SANTO ANTONIO)
382EX1,MAUA (JARDIM ITAPEVA),SAO CAETANO DO SUL (BAIRRO SANTO ANTONIO)
384,ITAQUAQUECETUBA (JARDIM CALIFORNIA),SAO PAULO (METRO ARMENIA)
386,SANTANA DE PARNAIBA (VARZEA DE SOUZA),SAO PAULO (PINHEIROS)
390,OSASCO (JARDIM VELOSO),BARUERI (ALPHAVILLE 3 / BRADESCO)
390BI1,OSASCO (JARDIM SANTO ANTONIO),BARUERI (ALPHAVILLE 3 / BRADESCO)
392,CARAPICUIBA (JARDIM ANA ESTELA),BARUERI (ALPHAVILLE)
394,BIRITIBA MIRIM (JARDIM DOS EUCALIPTOS),MOGI DAS CRUZES (CENTRO)
396,COTIA (TERMINAL METROPOLITANO COTIA),SAO PAULO (METRO BUTANTA)
399,BARUERI (PARQUE IMPERIAL),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA)
402,RIO GRANDE DA SERRA (CENTRO),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES)
403,MAUA (VILA NOVA MAUA),SAO CAETANO DO SUL (SANTO ANTONIO)
404,OSASCO (NOVO OSASCO),SAO PAULO (METRO VILA SONIA)
405,SUZANO (CENTRO),ITAQUAQUECETUBA (RANCHO GRANDE)
407,CARAPICUIBA (VILA DIRCE),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
408,GUARULHOS (CIDADE SOBERANA),SAO PAULO (METRO ARMENIA)
409,SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE)
409BI1,SAO BERNARDO DO CAMPO (PARQUE ALVARENGA),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE)
411,SANTA ISABEL (MONTE SERRAT),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE)
412,EMBU DAS ARTES (JARDIM SAO MARCOS),SAO PAULO (TERMINAL RODOVIARIO TIETE)
415,SANTA ISABEL (MONTE SERRAT),GUARAREMA (CHACARA GUANABARA)
416,POA (JARDIM MEDINA),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES)
417,SANTANA DE PARNAIBA (PARQUE SANTANA),BARUERI (CENTRO)
418,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (CENTRO)
419,ITAPEVI (COHAB/JARDIM PAULISTA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
420,OSASCO (VILA YARA),COTIA (TERMINAL METROPOLITANO DE COTIA)
420DV1,OSASCO (VILA YARA),COTIA (TERMINAL METROPOLITANO DE COTIA)
421,ITAPEVI (CIDADE DA SAUDE),VARGEM GRANDE PAULISTA (CENTRO)
422,ITAPEVI (VILA NOVA ESPERANCA),SAO PAULO (METRO MORUMBI)
424,RIO GRANDE DA SERRA (CENTRO),SANTO ANDRE (PARANAPIACABA)
426,FRANCO DA ROCHA (CENTRO),CAJAMAR (POLVILHO)
427,GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (PARAISO)
428,BARUERI (JARDIM DO LIBANO),OSASCO (VILA YARA)
429,CAIEIRAS (LARANJEIRAS),SAO PAULO (JARDIM DO RUSSO)
430,FRANCO DA ROCHA (CENTRO),FRANCISCO MORATO (CENTRO)
431,SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS),SAO PAULO (TERMINAL SACOMA)
432,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO BERNARDO DO CAMPO (BAIRRO DO TABOAO)
436,FRANCISCO MORATO (TERMINAL RAUL SHIGUEMITSU SUNAO),FRANCO DA ROCHA (CENTRO)
438,FRANCO DA ROCHA (PARQUE VITORIA),SAO PAULO (LAPA)
439,BARUERI (ALPHAVILLE),SAO PAULO (PIRITUBA)
439VP1,BARUERI (ALPHAVILLE),OSASCO (JARDIM HELENA MARIA)
442,CAIEIRAS (JARDIM NOVA ERA),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA)
443,GUARULHOS (COCAIA),SAO PAULO (METRO PENHA)
446,SAO BERNARDO DO CAMPO (JARDIM BORBOREMA),SAO PAULO (SAUDE)
448,CARAPICUIBA (ALDEIA),SANTANA DE PARNAIBA (RESIDENCIAL TAMBORE III)
449,CARAPICUIBA (ALDEIA),SANTANA DE PARNAIBA (ALPHAVILLE 10)
450,CARAPICUIBA (JARDIM NOVO HORIZONTE),BARUERI (ALPHAVILLE 2)
451,ITAPECERICA DA SERRA (JARDIM BRANCA FLOR),SAO PAULO (METRO CAPAO REDONDO)
452,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM SAO ROBERTO)
454,JANDIRA (CONDOMINIO RESERVA DE SANTA MARIA),BARUERI (TERMINAL RODOFERROVIARIO GUALBERTO TOLAINE)
455,BARUERI (ALPHAVILLE),CARAPICUIBA (ALDEIA)
456,BARUERI CENTRO),OSASCO (KM 19.5 - RAPOSO TAVARES)
459,EMBU DAS ARTES (TERMINAL CASA BRANCA),SAO PAULO (ITAIM BIBI)
460,FERRAZ DE VASCONCELOS (VILA SAO PAULO),SAO PAULO ( ESTACAO CPTM GUAIANAZES)
461,ARUJA (TERMINAL RODOVIARIO DE ARUJA),GUARULHOS (NOVA BONSUCESSO)
462,SANTANA DE PARNAIBA (CIDADE SAO PEDRO),OSASCO (CENTRO)
462BI1,SANTANA DE PARNAIBA (VARZEA DE SOUZA),OSASCO (CENTRO)
463,ITAPEVI (JARDIM VITAPOLIS),SANTANA DE PARNAIBA (RESIDENCIAL TAMBORE III)
466,OSASCO (CONJUNTO DOS METALURGICOS),BARUERI (ALPHAVILLE/GREEN VALLEY)
466EX1,OSASCO (TERMINAL SANTA MARIA),BARUERI (ALPHAVILLE/GREEN VALLEY)
466EX2,OSASCO (SANTA MARIA),BARUERI (ALPHAVILLE / GREEN VALLEY)
467,SANTANA DE PARNAIBA (CENTRO),SAO PAULO (LAPA)
468,SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),COTIA (TERMINAL METROPOLITANO COTIA)
468BI1,BARUERI (SHOPPING TAMBORE),COTIA (TERMINAL METROPOLITANO DE COTIA)
469,FRANCO DA ROCHA (JARDIM LAGO AZUL),CAIEIRAS (JARDIM NOVA ERA)
470,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (AEROPORTO DE CONGONHAS)
472,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA)
473,ITAQUAQUECETUBA (PARQUE PIRATININGA II),SAO PAULO (METRO ARMENIA)
478,GUARULHOS (CONJUNTO PAES DE BARROS),SAO PAULO (METRO ARMENIA)
478BI1,GUARULHOS (JARDIM DAS NACOES),SAO PAULO (METRO ARMENIA)
479,CARAPICUIBA (PARQUE SANTA TEREZA),OSASCO (CENTRO)
480,ARUJA (PARQUE RODRIGO BARRETO),POA (ESTACAO CPTM POA)
481,POA (TERMINAL RODOVIARIO JARDIM SAO JOSE),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES)
484,EMBU DAS ARTES (JARDIM BATISTA),SAO PAULO (METRO CAPAO REDONDO)
487,MAUA (TERMINAL METROPOLITANO SONIA MARIA),SANTO ANDRE (SHOPPING ABC)
488,CARAPICUIBA (VILA MENCK),SAO PAULO (METRO BUTANTA)
489,ITAPEVI (CIDADE DA SAUDE),EMBU DAS ARTES (CENTRO)
490,TABOAO DA SERRA (JARDIM MONTE ALEGRE),OSASCO (CENTRO)
492,CARAPICUIBA (PARQUE JANDAIA),SAO PAULO (METRO VILA SONIA)
493,SANTO ANDRE (PRINCIPE DE GALES),SAO PAULO (TERMINAL SACOMA)
493DV1,SANTO ANDRE (PRINCIPE DE GALES),SAO PAULO (TERMINAL SACOMA)
494,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),SAO PAULO (TERMINAL SACOMA)
496,SAO PAULO (JARDIM JOAO XXIII),BARUERI (ALPHAVILLE/GREEN VALLEY)
496VP1,SAO PAULO (RODOVIA RAPOSO TAVARES - KM 17.8),BARUERI (ALPHAVILLE/GREEN VALLEY)
497,CARAPICUIBA (VILA DIRCE),SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA)
498,CARAPICUIBA (JARDIM NOVO HORIZONTE),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE)
499,GUARULHOS (TERMINAL METROPOLITANO CECAP),SAO PAULO (ESTACAO CPTM DOM BOSCO)
500,GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO),SAO PAULO (TERMINAL RODOVIARIO TIETE)
500DV1,GUARULHOS (TERMINAL METROPOLITANO VILA GALVAO),SAO PAULO (TERMINAL RODOVIARIO TIETE)
501,ITAQUAQUECETUBA (PARQUE PIRATININGA),SAO PAULO (METRO ARMENIA)
503,COTIA (CAUCAIA DO ALTO),COTIA (PORTAO)
506,COTIA (JARDIM SANDRA),SAO PAULO (CARREFOUR)
507,VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS),COTIA (PORTAO)
508,COTIA (JARDIM JAPAO),COTIA (PORTAO)
509,VARGEM GRANDE PAULISTA (PARQUE DO AGRESTE),COTIA (TERMINAL METROPOLITANO COTIA)
510,EMBU DAS ARTES (JARDIM VAZAME),SAO PAULO (METRO VILA SONIA)
5104,IGARATA (TERMINAL RODOVIARIO DE IGARATA),JACAREI (TERMINAL RODOVIARIO DE JACAREI)
5105,PARAIBUNA (TERMINAL RODOVIARIO DE PARAIBUNA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5106,JAMBEIRO (TERMINAL RODOVIARIO DE JAMBEIRO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5107,MONTEIRO LOBATO (TERMINAL RODOVIARIO DE MONTEIRO LOBATO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5109,SAO JOSE DOS CAMPOS (SAO FRANCISCO XAVIER),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
511,EMBU DAS ARTES (JARDIM SANTO ANTONIO),SAO PAULO (METRO VILA SONIA)
5110,CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5111,CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA),TAUBATE (TERMINAL RODOVIARIO URBANO JOAO FRANCISCO DOS SANTOS)
5112,JAMBEIRO (TERMINAL RODOVIARIO DE JAMBEIRO),CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA)
5113,SANTA BRANCA (TERMINAL RODOVIARIO DE SANTA BRANCA),JACAREI (TERMINAL RODOVIARIO DE JACAREI)
5114,JACAREI (TERMINAL RODOVIARIO DE JACAREI),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5116,JACAREI (TERMINAL RODOVIARIO DE JACAREI),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5117,SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA)
5118,JACAREI (PARQUE MEIA LUA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
512,ITAQUAQUECETUBA (PARQUE PIRATININGA),SAO PAULO (METRO ARMENIA)
513,ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS),SAO PAULO (METRO CAPAO REDONDO)
517,ITAPEVI (COHAB),OSASCO (VILA YARA)
518,BARUERI (JARDIM DO LIBANO),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
520,GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA)
5201,PINDAMONHANGABA (ARARETAMA),TAUBATE (TAUBATE SHOPPING CENTER)
5202,TREMEMBE (TERMINAL RODOVIARIO DE TREMEMBE),CACAPAVA (TERMINAL RODOVIARIO DE CACAPAVA)
5203,TAUBATE (TERMINAL RODOVIARIO VELHO DE TAUBATE),TREMEMBE (TERMINAL RODOVIARIO DE TREMEMBE)
5204,NATIVIDADE DA SERRA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5204BI1,REDENCAO DA SERRA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5205,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS)
5206,PINDAMONHANGABA (CENTRO),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS)
5207,TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5207DV1,TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5208,SAO BENTO DO SAPUCAI (CENTRO),CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO)
5209,PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5209DV1,PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
521,GUARULHOS (JARDIM ANGELICA),SAO PAULO (METRO ARMENIA)
5210,CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5211,PINDAMONHANGABA (CENTRO),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS)
5211PR1,PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),TAUBATE (TERMINAL RODOVIARIO E URBANO JOAO FRANCISCO DOS SANTOS)
5212,CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5213,SAO BENTO DO SAPUCAI (TERMINAL RODOVIARIO DE SAO BENTO DO SAPUCAI),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5214,LAGOINHA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5214EX1,LAGOINHA (CENTRO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5216,SAO LUIZ DO PARAITINGA (TERMINAL RODOVIARIO DE SAO LUIZ DO PARATITINGA),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5217,SAO LUIZ DO PARAITINGA (CATUCABA),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5218,SAO BENTO DO SAPUCAI (CENTRO),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA)
5219,CAMPOS DO JORDAO (TERMINAL RODOVIARIO DE CAMPOS DO JORDAO),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA)
522,GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA),SAO PAULO (METRO ARMENIA)
5220,TAUBATE (TERMINAL RODOVIARIO VELHO DE TAUBATE),TREMEMBE (TERMINAL RODOVIARIO DE TREMEMBE)
5221,PINDAMONHANGABA (CENTRO),TAUBATE (TERMINAL RODOVIARIO VELHO DE TAUBATE)
523,GUARULHOS (JARDIM CUMBICA/PARQUE BRASILIA),SAO PAULO (METRO ARMENIA)
524,BARUERI (TREVO DE ALPHAVILLE),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA)
525,GUARULHOS (JARDIM SANTA PAULA),SAO PAULO (METRO ARMENIA)
526,GUARAREMA (CHACARA GUANABARA),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE)
528,CARAPICUIBA (CIDADE ARISTON),BARUERI (ALPHAVILLE)
529,ARUJA (MIRANTE),SAO PAULO (METRO ARMENIA)
530,ARUJA (PARQUE RODRIGO BARRETO),SAO PAULO (METRO ARMENIA)
5301,APARECIDA (TERMINAL RODOVIARIO DE APARECIDA),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
5303,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA)
5304,PIQUETE (TERMINAL RODOVIARIO DE PIQUETE),LORENA (TERMINAL RODOVIARIO DE LORENA)
5304PR1,PIQUETE (TERMINAL RODOVIARIO DE PIQUETE),LORENA (CENTRO - ETEC)
5304PR2,PIQUETE (IMBEL),LORENA (TERMINAL RODOVIARIO DE LORENA)
5305,LORENA (TERMINAL RODOVIARIO DE LORENA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5306,LORENA (TERMINAL RODOVIARIO DE LORENA),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE)
5306VP1,LORENA (TERMINAL RODOVIARIO DE LORENA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA)
5307,PIQUETE (TERMINAL RODOVIARIO DE PIQUETE),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
5308,POTIM (MIGUEL VIEIRA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA)
5308VP1,POTIM (MINAS GERAIS),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA)
5309,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
531,ITAPECERICA DA SERRA (RECREIO PRIMAVERA),SAO PAULO (METRO CAPAO REDONDO)
5310,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA ),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
5311,GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA)
5312,LORENA (TERMINAL RODOVIARIO DE LORENA),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA)
5313,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),LORENA (TERMINAL RODOVIARIO DE LORENA)
5313DV1,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),LORENA (TERMINAL RODOVIARIO DE LORENA)
5316,APARECIDA (CENTRO),GUARATINGUETA (CENTRO)
5317,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA)
5317DV1,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA)
5318,POTIM (LOTEAMENTO DOS VIEIRAS),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA)
5319,CUNHA (TERMINAL RODOVIARIO DE CUNHA),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA)
532,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO TUCURUVI)
5320,CANAS (CENTRO),LORENA (TERMINAL RODOVIARIO DE LORENA)
533,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),BARUERI (PARQUE IMPERIAL)
534,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (GENESIS II)
535,GUARULHOS (PARQUE CONTINENTAL III),SAO PAULO (METRO ARMENIA)
536,FRANCO DA ROCHA (CENTRO),CAIEIRAS (VILA DOS PINHEIROS)
537,ARUJA (PARQUE RODRIGO BARRETO),GUARULHOS (JARDIM SANTA MENA)
538,ARUJA (CENTRO),GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO)
540,BARUERI (ALDEIA DA SERRA),COTIA (TERMINAL METROPOLITANO DE COTIA)
5401,CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5402,BANANAL (TERMINAL RODOVIARIO AQUINO CARVALHO DOS SANTOS),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA)
5403,AREIAS (CENTRO),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
5404,QUELUZ (TERMINAL RODOVIARIO DE QUELUZ),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
5404PR1,QUELUZ (TERMINAL RODOVIARIO DE QUELUZ),CRUZEIRO (VILA BRASIL)
5405,LAVRINHAS (CAPELA DO JACU),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
5406,CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM)
5407,LORENA (TERMINAL RODOVIARIO DE LORENA),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO)
5407VP1,LORENA (TERMINAL RODOVIARIO DE LORENA),CACHOEIRA PAULISTA (BAIRRO MARGEM ESQUERDA)
