RouteCode,RouteStart,RouteEnd,llm_generated
201,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar do terminal rodoviario geraldo scavone em sao paulo?
202,OSASCO (JARDIM ADALGISA),SAO PAULO (PIRITUBA),como eu faco pra chegar em saopaulo saindo de osasco?
203,OSASCO (BEL JARDIM),SAO PAULO (LAPA),como eu faco pra ir de osasco (bel jardim) para sao paulo?
204,OSASCO (MUNHOZ JUNIOR),SAO PAULO (LAPA),"oi, como eu faco pra ir do munhoz junior ate sao paulo?"
206,GUARAREMA (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar de guararema no terminal rodoviario tiete?"
208,GUARAREMA (TERMINAL RODOVIARIO DE GUARAREMA),MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),"oi, como eu faco pra chegar em mogi das cruzes partindo do terminal rodoviario de guararema?"
210,BIRITIBA MIRIM (CASA GRANDE),MOGI DAS CRUZES (CENTRO),como eu faco pra ir do biritiba mirim (casa grande) ate mogi das cruzes (centro)?
211,OSASCO (VILA MENCK),SAO PAULO (PINHEIROS),como eu faco pra ir de osasco para sao paulo?
212,DIADEMA (JARDIM SAPOPEMA),SAO PAULO (TERMINAL SACOMA),"oi, como eu faco pra chegar em sao paulo saindo de jardim sapopema?"
213,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),OSASCO (CENTRO),"oi, como eu faco pra chegar no centro saindo do jardim sao judas tadeu?"
214,SUZANO (CENTRO),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar do centro de suzano ate o terminal rodoviario tiete?"
214VP1,ITAQUAQUECETUBA (RANCHO GRANDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar em sao paulo saindo de itaquaquecetuba?"
215,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),SUZANO (CENTRO),como eu faco pra chegar no centro saindo do terminal rodoviario de ribeiraos pires?
216,FRANCISCO MORATO (JARDIM DA ALEGRIA),FRANCO DA ROCHA (CENTRO),como eu faco pra ir do jardim da alegria ate o franco da rocha?
217,SAO BERNARDO DO CAMPO (CONJUNTO TERRA NOVA II),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar do conjunto terra nova ii em sao paulo no terminal rodoviario tiete?
218,SAO BERNARDO DO CAMPO (AREA VERDE),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra ir de sao bernardo do campo pra sao paulo?
218EX1,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),"oi, como eu faco pra chegar no glicerio saindo do terminal ferrozona?"
218EX2,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (GLICERIO),como eu faco pra chegar em sao paulo saindo do terminal ferroazul?
219,SANTA ISABEL (MONTE SERRAT),SAO PAULO (METRO ARMENIA),como eu faco pra ir do santa isabel (monte serrat) ate o metro armenia?
219BI1,SANTA ISABEL (MONTE SERRAT),GUARULHOS (CENTRO),"oi, como eu faco pra chegar em guarulhos partindo de santa isabel?"
223,CARAPICUIBA (COHAB V),OSASCO (VILA YARA),"oi, como eu faco pra chegar na vila yara saindo da habco?"
226,EMBU-GUACU (CHACARA FLORIDA),SAO PAULO (TERMINAL GRAJAU),"oi, como eu faco pra chegar em sao paulo saindo de embu-guacuba (chacara florida)?"
227,GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),como eu faco pra ir de guarulhos (jardim leblon) em direcao a sao paulo?
227DV1,GUARULHOS (JARDIM LEBLON),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
228,BARUERI (ALPHAVILLE 3 / BRADESCO),SAO PAULO (LAPA),como eu faco pra chegar do barueri (alphaville 3 / bradesco) em sao paulo?
229,OSASCO (JARDIM ACUCARA),SAO PAULO (LAPA),como eu faco pra chegar em sao paulo saindo de osasco?
230,BARUERI (ALPHAVILLE),OSASCO (VILA YARA),como eu faco pra ir de barueri (alphavite) para vila yara?
231,OSASCO (JARDIM ELVIRA),SAO PAULO (METRO ARMENIA),como eu faco pra chegar no metro armenia saindo da osasco?
231BI1,OSASCO (MUNHOZ JUNIOR),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar do osasco (munhoz junior) em sao paulo?"
236,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar do terminal metropolitano pirapora para o terminal sacramento?
237,ITAPECERICA DA SERRA (JARDIM SAO PEDRO),SAO PAULO (METRO CAPAO REDONDO),"oi, tudo bem? to na itapecerica da serra e preciso saber como chegar no metro capaao redondo."
238,SAO BERNARDO DO CAMPO (PARQUE LOS ANGELES),SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-OESTE),"oi, tudo bem? preciso saber como chego de sao bernardo do campo (parque los angeles) em santa andre, saindo do terminal metropolitano santa andre-oeste?"
239,ITAPECERICA DA SERRA (JARDIM SAO MARCOS),COTIA (TERMINAL METROPOLITANO COTIA),"oi, como eu faco pra ir do jardim sao marcos pra cotia de onibus?"
240,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO DO TIETE),"oi, como eu faco pra chegar no terminal rodoviario de maisparra no terminal rodoviario do tiete?"
241,TABOAO DA SERRA (PARQUE JACARANDA),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do parque jacaranda ate a vila sonia?
242,ITAQUAQUECETUBA (JARDIM PINHEIRINHO),SAO PAULO (METRO CARRAO),"oi, como eu faco pra chegar em sao paulo saindo de itaquaquecetuba?"
242BI1,ITAQUAQUECETUBA (PEQUENO CORACAO),SAO PAULO (METRO CARRAO),"oi, como eu faco pra sair de itaquaquecetuba e chegar em sao paulo?"
243,SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar em sao paulo saindo de santa isabel?"
243DV1,SANTA ISABEL (MONTE SERRAT),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar do monte serrat no terminal rodoviario tiete?"
244,OSASCO (CENTRO),COTIA (RODOVIA RAPOSO TAVARES - KM 21),como eu faco pra sair da osasco (centro) e chegar em cotia pela rodovia dos assis?
244BI1,OSASCO (VILA YARA),COTIA (RODOVIA RAPOSO TAVARES SP-270 - KM 21),"oi, como eu faco pra ir de osasco ate cotia?"
244VP1,OSASCO (CIDADE DE DEUS),COTIA (RODOVIA RAPOSO TAVARES - SP 270 - KM 21),como eu faco pra chegar em cotia saindo de osasco?
245,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO CAMPO LIMPO),"oi, como eu faco pra ir de taboao da serra ate sao paulo?"
246,SANTANA DE PARNAIBA (JARDIM SAO LUIS),OSASCO (VILA YARA),"oi, como eu faco pra ir de santana de parnaiba ate osasco?"
246BI1,SANTANA DE PARNAIBA (REFUGIO DOS BANDEIRANTES),OSASCO (VILA YARA),"oi, como eu faco pra chegar em osasco saindo de santana de parnaiba?"
247,BARUERI (ALDEIA DA SERRA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir de barueri para o terminal metropolitano de cotia?
247VP1,JANDIRA (JARDIM ALVORADA),COTIA (TERMINAL METROPOLITANO DE COTIA),"oi, como eu faco pra chegar em cotia partindo de jandira (jardim alvorada)?"
247VP2,BARUERI (ALDEIA DA SERRA),COTIA  (JARDIM ROSEMARY),"oi, como eu faco pra chegar de bardei da serra em jardim rosemary?"
248,GUARULHOS (PARQUE SANTOS DUMONT),SAO PAULO (METRO PENHA),como eu faco pra ir do parque santos dumont para sao paulo?
249,GUARULHOS (JARDIM PAULISTA),SAO PAULO (METRO PENHA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
250,GUARULHOS (COCAIA),SAO PAULO (METRO PENHA),"como eu faco pra ir de guarulhos (cocaia) ate sao paulo, saindo daqui?"
252,GUARULHOS (JARDIM CUMBICA),SAO PAULO (METRO CARRAO),como eu faco pra chegar no metro carrao saindo de guarulhos?
253,GUARULHOS (JARDIM PARAISO),SAO PAULO (METRO PENHA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
254,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),DIADEMA (TERMINAL METROPOLITANO DIADEMA),"oi, como eu faco pra chegar do terminal rodoaviario nicolau delic em diamaesa?"
254DV1,SAO CAETANO DO SUL (TERMINAL RODOVIARIO NICOLAU DELIC),DIADEMA (TERMINAL METROPOLITANO DIADEMA),"oi, como eu faco pra chegar do terminal rodoviario nicolau delic na diadema?"
255,DIADEMA (JARDIM PADRE ANCHIETA),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),"oi, como eu faco pra chegar de diadema em sao bernardo do campo?"
256,COTIA (CAUCAIA DO ALTO),COTIA (PORTAO),"oi, como eu faco pra chegar em cotia a partir de aqui?"
257,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (METRO TATUAPE),como eu faco pra chegar do aeroporto internacional de guarulhos em sao paulo?
258,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (AEROPORTO DE CONGONHAS),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
260,BARUERI (ALPHAVILLE),COTIA (KM 30 RODOVIA RAPOSO TAVARES),como eu faco pra chegar no cotia (km 30 rodovia raposo tavares) saindo de barueri?
260EX1,BARUERI (ALPHAVILLE),COTIA (KM 30 RODOVIA RAPOSO TAVARES),como eu faco pra chegar em cotia a partir do barphiele?
261,SANTANA DE PARNAIBA (VARZEA DE SOUZA),SAO PAULO (LAPA),"oi, como eu faco pra sair de santana de souza e chegar em sao paulo?"
262,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (ARTUR ALVIM),"oi, como eu faco pra ir do terminal metropolitano santos andre estado ate sao paulo?"
263,CARAPICUIBA (JARDIM NOVO HORIZONTE),OSASCO (VILA YARA),"oi, como eu faco pra ir de carapicuiba ate osasco?"
264,SANTANA DE PARNAIBA (PARQUE SANTANA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),como eu faco pra chegar no residencial burle marx saindo de santana de paranaiba?
264BI1,BARUERI (JARDIM CALIFORNIA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),como eu faco pra ir de barueri pra santana de paraiba?
265,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE,LESTE) - SP (CONJUNTO HABITACIONAL TEOTONIO VILELA),"oi, como eu faco pra chegar do metro santo andre ate o conjunto habitacional teotonio vilela?"
266,GUARULHOS (INOCOOP),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
266DV1,GUARULHOS (INOCOOP),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
269,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (METRO CORINTHIANS-ITAQUERA),como eu faco pra chegar do terminal rodoviario pedro fava (cidade kemel) em sao paulo?
272,EMBU DAS ARTES (TERMINAL CASA BRANCA),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do terminal casa branca ate a metro vila sonia?
273,SUZANO (CENTRO),ARUJA (PARQUE RODRIGO BARRETO),como eu faco pra ir do centro de suzano ate o parque rodolfo gaudi?
277,SANTA ISABEL (MONTE SERRAT),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),"oi, como eu faco pra chegar em mogi das cruz saindo de santa isabel?"
278,OSASCO (CENTRO),GUARULHOS (TERMINAL URBANO GUARULHOS),como eu faco pra chegar no terminal urbano guarulhos saindo da osasco?
279,DIADEMA (TERMINAL METROPOLITANO DE DIADEMA),SAO PAULO (METRO SAO JUDAS),como eu faco pra chegar do terminal metropolitano de diadema ate o metro sao judas?
280,OSASCO (CENTRO),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),como eu faco pra ir do centro de osasco ate o terminal pacos de sao bernardo?
280BI1,SAO PAULO (CIDADE UNIVERSITARIA),SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),"oi, to na universidade de sao paulo e preciso saber como chegar ao terminal paco em sao bernardo."
281,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (PEDRA BRANCA),"oi, como eu faco pra chegar em sao paulo saindo do terminal rodoviario aqui aiacyda?"
283,CARAPICUIBA (CIDADE ARISTON),OSASCO (VILA YARA),"oi, como eu faco pra ir de carapicuiba ate osasco?"
283VP1,CARAPICUIBA (CIDADE ARISTON),OSASCO (CENTRO),como eu faco pra chegar em osasco saindo de carapicuva?
284,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS),SANTO ANDRE(TERMINAL METROPOLITANO SANTO ANDRE OESTE),como eu faco pra chegar do metro sao paulo ate santo andre?
284M,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS),SAO BERNARDO DO CAMPO (SHOPPING METROPOLE),"oi, como eu faco pra chegar do metro sao paulo ate o shopping metropole?"
285,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS),SAO BERNARDO DO CAMPO  (TERMINAL METROPOLITANO FERRAZOPOLIS),"oi, como eu faco pra ir do terminal metropolitano sao paulo ate o terminal metropolitano de sao bernardo do campo?"
286,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),"oi, como eu faco pra sair do terminal metropolitano santa andre e ir para o terminal metropolitano sao bernardo?"
287,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),DIADEMA (TERMINAL METROPOLITANO DIADEMA),"oi, como eu faco pra chegar no terminal metropolitano santo andre do oriente ate o terminal metropolitano diadema?"
287PIR,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),"oi, como eu faco pra ir do terminal metropolitano santo andre oeste ate o terminal metropolitano pirapora?"
287UBUS,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),DIADEMA (TERMINAL METROPOLITANO DIADEMA),"oi, preciso saber como chegar no terminal metropolitano santo andre ate o terminal metropolitano diaema."
288,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),como eu faco pra chegar do terminal metro ferroazopolisis em sao paulo?
288PIR,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),como eu faco pra chegar do terminal metro ferroapolis em diadema?
289,DIADEMA (TERMINAL METROPOLITANO PIRAPORINHA),SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),como eu faco pra ir do diadema ate o jabaquara?
290,DIADEMA (TERMINAL METROPOLITANO DIADEMA),SAO PAULO (TERMINAL METROPOLITANO JABAQUARA),"oi, como eu faco pra chegar do terminal metropolitano diadema em sao paulo?"
291,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),como eu faco pra chegar na residencial burle marx a partir de jandira (jardim nossa senhora de fatima)?
291BI1,ITAPEVI (JARDIM BELA VISTA),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),como eu faco pra chegar na residencial burle marx a partir do itapevi?
292,GUARULHOS (JARDIM ANGELICA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra ir de guarulhos ate sao paulo?"
292DV1,GUARULHOS (JARDIM ANGELICA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em saopaulo saindo de guarulhos?"
293,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (ESTACAO CPTM GUAIANAZES),como eu faco pra chegar do terminal rodoaviario pedro fava na cidade sao paulo ate sao paulo?
297,COTIA (CAUCAIA DO ALTO),SAO PAULO (METRO MORUMBI),"oi, como eu faco pra chegar em sao paulo saindo de cotia?"
300,TABOAO DA SERRA (JARDIM SAO JUDAS TADEU),SAO PAULO (METRO VILA SONIA),"oi, como eu faco pra sair de taboao da serra e ir ate a sao paulo?"
302,ITAQUAQUECETUBA (TERMINAL URBANO ENGENHEIRO MANOEL FEIO),ITAQUAQUECETUBA (JARDIM PINHEIRINHO),"oi, como eu faco pra chegar no jardim pinheirinho de la do terminal urbano engenheiro manoel feio?"
303,BARUERI (PARQUE IMPERIAL),OSASCO (VILA YARA),como eu faco pra ir de barueri (parque imperial) ate a vila yara?
305,DIADEMA (JARDIM PADRE ANCHIETA),SAO BERNARDO DO CAMPO (JARDIM DO LAGO),como eu faco pra ir de diadema ate sao bernardo do campo?
307,CARAPICUIBA (TERMINAL METROPOLITANO CARAPICUIBA),COTIA (KM 24 - RODOVIA RAPOSO TAVARES),"oi, to no terminal metropolitano de carapicuva e quero saber como chegar a cotia, que fica na rodovia raposo tavares, ne?"
308,COTIA (ATALAIA),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA),como eu faco pra chegar no terminal rodoviario barra funda a partir de cotia?
309,SANTANA DE PARNAIBA (PARQUE SANTANA),SAO PAULO (PINHEIROS),como eu faco pra chegar em sao paulo saindo da santana de paranaiba?
310,SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),SAO PAULO (LAPA),"oi, como eu faco pra chegar em sao paulo partindo de santana da anhanguera?"
311,SALESOPOLIS (TREVO DA PETROBRAS),MOGI DAS CRUZES (CENTRO),como eu faco pra chegar de salesopolis (trevo da petrobras) em mogi das cruzes?
311DV1,SALESOPOLIS (TREVO DA PETROBRAS),MOGI DAS CRUZES (CENTRO),como eu faco pra chegar em mogi das cruz saindo de salesopolis?
312,SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),SANTANA DE PARNAIBA (CENTRO),"oi, como eu faco pra chegar em santana de paraibana do centro?"
313,ITAPEVI (DIVISA SAO ROQUE),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),"oi, como eu faco pra chegar na residencial burle marx de la na santana de parnaiba?"
314,SAO BERNARDO DO CAMPO (JARDIM LAS PALMAS),SAO PAULO (TERMINAL RODOVIARIO TIETE),como eu faco pra chegar no jardim las palms de sao paulo (terminal rodoviario tiete) saindo de sao bernencar do campo?
315,POA (TERMINAL RODOVIARIO AYRTON SENNA DA SILVA),SAO PAULO (ESTACAO CPTM ITAIM PAULISTA),"oi, como eu faco pra chegar do terminal rodoviario ayrton senna da silva em sao paulo?"
316,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),SAO PAULO (CIRCUITO DOS HOTEIS),como eu faco pra chegar em sao paulo saindo de guarulhos?
317,FRANCISCO MORATO (CENTRO),FRANCO DA ROCHA (PARQUE PAULISTA),como eu faco pra ir do francisco morato ate o parque paulista?
318,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),GUARULHOS (TERMINAL METROPOLITANO CECAP),"oi, como eu faco pra sair do terminal rodoviario pedro ava, em guarulhos, e ir ate o terminal metropolitano cecap?"
319,GUARULHOS (VILA ANY),SAO PAULO (METRO CORINTHIANS/ITAQUERA),"oi, como eu faco pra chegar em sao paulo saindo da vila any?"
321,CARAPICUIBA (COHAB V),SANTANA DE PARNAIBA (ALPHAVILLE 10),"oi, como eu faco pra chegar de carapicuiba (cohab v) em santana de paraniba?"
322,BARUERI (PARQUE IMPERIAL),SAO PAULO (PINHEIROS),"oi, como eu faco pra chegar do barueri (parque impural) em sao paulo?"
323,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE),SAO PAULO (JARDIM CLIMAX),"oi, tudo bem? preciso saber como chego do terminal metropolitano santo andre ate sao paulo."
324,SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA),BARUERI (PARQUE IMPERIAL),como eu faco pra chegar em barueri saindo de santana de paranaiba?
324BI1,SANTANA DE PARNAIBA (JARDIM SAO LUIS),BARUERI (PARQUE IMPERIAL),como eu faco pra chegar em barueri saindo de santana de pina?
327,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),SAO PAULO (METRO CORINTHIANS-ITAQUERA),"oi, como eu faco pra pegar um onibus saindo do terminal rodoaviario pedro fava, em poa, e ir para sao paulo?"
329,CARAPICUIBA (VILA MENCK),SAO PAULO (METRO BUTANTA),"oi, como eu faco pra chegar no metro butana na vila menck?"
331,CAIEIRAS (LARANJEIRAS),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA),como eu faco pra chegar em sao paulo saindo de caieiras e depois de lajares?
332,ITAQUAQUECETUBA (JARDIM ADRIANE),SUZANO (VILA SOL NASCENTE),"oi, como eu faco pra ir de itaquaquecetuba (jardim adriane) em direcao a suzano?"
334,COTIA (JARDIM DO ENGENHO),SAO PAULO (METRO MORUMBI),como eu faco pra ir do jardim do engenho ate sao paulo?
335,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),ITAQUAQUECETUBA (MARENGO),"oi, como eu faco pra chegar em itaquaquecetuba a partir do terminal rodoviario pedro fava?"
336,RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),MAUA (CAPBURGO),"oi, como eu faco pra chegar no terminal rodoviario de riberao pires em mua?"
337,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar de guarulhos no terminal rodoviario tiete?"
337BI1,GUARULHOS (RECREIO SAO JORGE),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra sair de guarulhos e chegar em sao paulo?"
339,ITAPECERICA DA SERRA (JARDIM VICTORIA),SAO PAULO (METRO CAPAO REDONDO),"oi, como eu faco pra ir do jardim victoria pra sao paulo?"
340,ITAPECERICA DA SERRA (JARDIM SAO MARCOS),SAO PAULO (METRO CAPAO REDONDO),como eu faco pra sair do jardim sao marcos e chegar no metro capao redondo?
341,GUARULHOS (VILA ANY),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
341DV1,GUARULHOS (VILA ANY),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo da vila any?"
342,GUARULHOS (JARDIM MARIA DIRCE),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
342DV1,GUARULHOS (JARDIM MARIA DIRCE),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
343,EMBU DAS ARTES (JARDIM DO COLEGIO),SAO PAULO (METRO CAMPO LIMPO),"oi, como eu faco pra ir de embu das artes (jardim do colegio) ate sao paulo?"
345,BARUERI (VALE DO SOL),OSASCO (VILA YARA),"oi, como eu faco pra ir de barueri (vale do sol) ate osasco?"
346,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),"oi, como eu faco pra ir da jardim nossa senhora de fatima em santos ate o terminal rodoaviario alphaville?"
347,EMBU DAS ARTES (PARQUE INDUSTRIAL),TABOAO DA SERRA (CENTRO),"oi, como eu faco pra chegar no parque industrial e depois no taboa da serra?"
348,ARUJA (TERMINAL RODOVIARIO DE ARUJA),ITAQUAQUECETUBA (JARDIM NOSSA SENHORA DAS GRACAS),"oi, como eu faco pra ir do terminal rodoaviario de arju ate itaquetauba?"
349,GUARULHOS (JARDIM MARIA DIRCE),SAO PAULO (ITAIM PAULISTA),como eu faco pra chegar em sao paulo saindo de guarulhos?
350,ITAPEVI (COHAB),OSASCO (VILA YARA),"oi, como eu faco pra chegar na vila yara saindo do itapevi?"
350BI1,ITAPEVI (VILA GIOIA),OSASCO (VILA YARA),como eu faco pra chegar na vila yara saindo da vila gioia no itapevi?
351,COTIA (CAUCAIA DO ALTO),COTIA (TERMINAL METROPOLITANO COTIA),"oi, como eu faco pra chegar no terminal metropolitano cotia saindo de cotia?"
351BI1,COTIA (CAUCAIA DO ALTO),COTIA (TERMINAL METROPOLITANO COTIA),como eu faco pra chegar no terminal metropolitano cotia saindo de caucaia do alto?
351PR1,COTIA (JARDIM MONTE VERDE),COTIA (TERMINAL METROPOLITANO COTIA),"oi, como eu faco pra chegar no terminal metropolitano cotia saindo do jardim monte verde?"
352,SANTANA DE PARNAIBA (CIDADE DE SAO PEDRO),SAO PAULO (LAPA),como eu faco pra chegar em sao paulo saindo de santana de paraiba?
353,ARUJA (TERMINAL RODOVIARIO DE ARUJA),ITAQUAQUECETUBA (RESIDENCIAL VILLAGE),como eu faco pra chegar do terminal rodoaviario de aruacao em itaquaquecetuba?
354,GUARULHOS (BAIRRO DOS LAVRAS),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
356,TABOAO DA SERRA (JARDIM LEME),SAO PAULO (METRO VILA SONIA),como eu faco pra ir do jardim leme ate a sao paulo?
358,DIADEMA (VILA SAO JOSE),SAO PAULO (SAUDE),"oi, como eu faco pra chegar em sao paulo saindo da vila sao jose?"
359,SAO BERNARDO DO CAMPO (TERMINAL METROPOLITANO FERRAZOPOLIS),SAO PAULO (SAUDE),como eu faco pra chegar do terminal metro ferrozapolis em sao paulo?
360,BARUERI (PARQUE VIANA),BARUERI (ALPHAVILLE 1),"oi, como eu faco pra chegar de barueri ate o parque viana?"
361,FRANCISCO MORATO (PARQUE 120),SAO PAULO (TERMINAL RODOVIARIO BARRA FUNDA),como eu faco pra ir do parque 120 ate o terminal rodoviario barra funda?
361VP1,FRANCISCO MORATO (PARQUE120),CAIEIRAS (TREVO DE LARANJEIRAS),como eu faco pra ir do francisco morato ate cairias?
362,ITAQUAQUECETUBA (JARDIM CALIFORNIA),GUARULHOS (JARDIM SANTA MENA),"oi, como eu faco pra chegar em guarulhos saindo do jardim california?"
363,ARUJA (TERMINAL RODOVIARIO DE ARUJA),ARUJA (RECANTO PRIMAVERA),preciso saber como chegar do terminal rodoaviario de arju em arju.
366,SAO BERNARDO DO CAMPO (PARQUE SELECTA),SANTO ANDRE (JARDIM CRISTIANE),como eu faco pra chegar do parque selecta em sao bernardo do campo?
367,SUZANO (JARDIM VITORIA),MOGI DAS CRUZES (CONDOMINIO ARUA),como eu faco pra ir do jardim vitoria ate mogi das cruzes?
372,SUZANO (JARDIM COLORADO),MOGI DAS CRUZES (JARDIM PIATA),preciso saber como chegar de jardim coracao para jardim princesa.
374,RIO GRANDE DA SERRA (SITIO MARIA JOANA),RIBEIRAO PIRES (TERMINAL RODOVIARIO DE RIBEIRAO PIRES),"oi, como eu faco pra chegar em ribeiraos pires saindo de sitio maria joao?"
375,MAIRIPORA (DIVISA),SAO PAULO (TERMINAL RODOVIARIO DO TIETE),como eu faco pra chegar do terminal rodoaviario do tiete em sao paulo?
376,DIADEMA (TERMINAL METROPOLITANO DIADEMA),SAO PAULO (BROOKLIN),"oi, como eu faco pra chegar do terminal metropolitano diadema em sao paulo?"
377,POA (JARDIM NOVA POA),SAO PAULO (METRO CORINTHIANS-ITAQUERA),como eu faco pra chegar em sao paulo a partir do jardim nova poa?
378,SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),SAO PAULO (METRO PARAISO),"oi, como eu faco pra ir do terminal rodoviarial alphaville ate sao paulo?"
